locus_tag	ftype	length_bp	gene	EC_number	COG	product
R88B_00001	CDS	1473	dnaA		COG0593	Chromosomal replication initiator protein DnaA
R88B_00002	CDS	1119	dnaN			Beta sliding clamp
R88B_00003	CDS	1140	recF		COG1195	DNA replication and repair protein RecF
R88B_00004	CDS	753	moeZ		COG0476	Probable adenylyltransferase/sulfurtransferase MoeZ
R88B_00005	CDS	477				hypothetical protein
R88B_00006	CDS	1002		1.1.1.29		Glycerate dehydrogenase
R88B_00007	CDS	558				hypothetical protein
R88B_00008	CDS	381				hypothetical protein
R88B_00009	CDS	432				hypothetical protein
R88B_00010	CDS	519	fabA	4.2.1.59	COG0764	3-hydroxydecanoyl-[acyl-carrier-protein] dehydratase
R88B_00011	CDS	1221	fabB	2.3.1.41		3-oxoacyl-[acyl-carrier-protein] synthase 1
R88B_00012	CDS	804	fabI_1	1.3.1.9	COG0623	Enoyl-[acyl-carrier-protein] reductase [NADH] FabI
R88B_00013	CDS	1545			COG2199	Uncharacterized signaling protein CC_0091
R88B_00014	CDS	1014	rsmC	2.1.1.172		Ribosomal RNA small subunit methyltransferase C
R88B_00015	CDS	2148	pnp	2.7.7.8	COG1185	Polyribonucleotide nucleotidyltransferase
R88B_00016	CDS	270	rpsO		COG0184	30S ribosomal protein S15
R88B_00017	CDS	1095	corA_1		COG0598	Cobalt/magnesium transport protein CorA
R88B_00018	CDS	978	truB	5.4.99.25	COG0130	tRNA pseudouridine synthase B
R88B_00019	CDS	462				hypothetical protein
R88B_00020	CDS	420	rbfA			Ribosome-binding factor A
R88B_00021	CDS	2574	infB		COG0532	Translation initiation factor IF-2
R88B_00022	CDS	651				hypothetical protein
R88B_00023	CDS	1596	nusA		COG0195	Transcription termination/antitermination protein NusA
R88B_00024	CDS	870	rimP			Ribosome maturation factor RimP
R88B_00025	CDS	165				hypothetical protein
R88B_00026	CDS	702	trmB	2.1.1.33	COG0220	tRNA (guanine-N(7)-)-methyltransferase
R88B_00027	CDS	1266	metK_1	2.5.1.6		S-adenosylmethionine synthase
R88B_00028	CDS	420				hypothetical protein
R88B_00029	CDS	1593	lnt	2.3.1.-	COG0815	Apolipoprotein N-acyltransferase
R88B_00030	CDS	1095	tlyC		COG1253	Hemolysin C
