locus_tag	ftype	length_bp	gene	EC_number	COG	product
SU343_00001	CDS	1473	dnaA_1		COG0593	Chromosomal replication initiator protein DnaA
SU343_00002	CDS	1119	dnaN			Beta sliding clamp
SU343_00003	CDS	1140	recF		COG1195	DNA replication and repair protein RecF
SU343_00004	CDS	753	moeZ		COG0476	Probable adenylyltransferase/sulfurtransferase MoeZ
SU343_00005	CDS	477				hypothetical protein
SU343_00006	CDS	1002		1.1.1.29		Glycerate dehydrogenase
SU343_00007	CDS	561				hypothetical protein
SU343_00008	CDS	381				hypothetical protein
SU343_00009	CDS	432				hypothetical protein
SU343_00010	CDS	516	fabA	4.2.1.59	COG0764	3-hydroxydecanoyl-[acyl-carrier-protein] dehydratase
SU343_00011	CDS	1221	fabB	2.3.1.41		3-oxoacyl-[acyl-carrier-protein] synthase 1
SU343_00012	CDS	804	fabI_1	1.3.1.9	COG0623	Enoyl-[acyl-carrier-protein] reductase [NADH] FabI
SU343_00013	CDS	1545			COG2199	Uncharacterized signaling protein CC_0091
SU343_00014	CDS	1011	rsmC	2.1.1.172		Ribosomal RNA small subunit methyltransferase C
SU343_00015	CDS	2148	pnp	2.7.7.8	COG1185	Polyribonucleotide nucleotidyltransferase
SU343_00016	CDS	270	rpsO		COG0184	30S ribosomal protein S15
SU343_00017	CDS	1095	corA_1		COG0598	Cobalt/magnesium transport protein CorA
SU343_00018	CDS	978	truB	5.4.99.25	COG0130	tRNA pseudouridine synthase B
SU343_00019	CDS	471	rbfA			Ribosome-binding factor A
SU343_00020	CDS	2583	infB		COG0532	Translation initiation factor IF-2
SU343_00021	CDS	651				hypothetical protein
SU343_00022	CDS	1596	nusA		COG0195	Transcription termination/antitermination protein NusA
SU343_00023	CDS	648	rimP			Ribosome maturation factor RimP
SU343_00024	CDS	165				hypothetical protein
SU343_00025	CDS	702	trmB	2.1.1.33	COG0220	tRNA (guanine-N(7)-)-methyltransferase
SU343_00026	CDS	1266	metK_1	2.5.1.6	COG0192	S-adenosylmethionine synthase
SU343_00027	CDS	420				hypothetical protein
SU343_00028	CDS	1593	lnt	2.3.1.-	COG0815	Apolipoprotein N-acyltransferase
SU343_00029	CDS	471			COG2764	Uncharacterized protein Rv0887c
SU343_00030	CDS	1095				hypothetical protein
SU343_00031	CDS	501	ybeY	3.1.-.-	COG0319	Endoribonuclease YbeY
SU343_00032	CDS	1050			COG1702	PhoH-like protein
SU343_00033	CDS	1410	miaB	2.8.4.3	COG0621	tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase
SU343_00034	CDS	801				hypothetical protein
SU343_00035	CDS	495	rimI	2.3.1.128	COG0456	Ribosomal-protein-alanine acetyltransferase
SU343_00036	CDS	678	tsaD_1	2.3.1.234		tRNA N6-adenosine threonylcarbamoyltransferase
SU343_00037	CDS	1104				hypothetical protein
SU343_00038	CDS	1080				hypothetical protein
SU343_00039	CDS	1602				hypothetical protein
SU343_00040	CDS	486	bfr	1.16.3.1	COG2193	Bacterioferritin
SU343_00041	CDS	312				hypothetical protein
SU343_00042	CDS	1413				hypothetical protein
SU343_00043	CDS	1254	thcD	1.18.1.-		Rhodocoxin reductase
SU343_00044	CDS	1278	puuE	2.6.1.19	COG0160	4-aminobutyrate aminotransferase PuuE
SU343_00045	CDS	1059	mdtE			Multidrug resistance protein MdtE
SU343_00046	CDS	1071	mdtA_1			Multidrug resistance protein MdtA
SU343_00047	CDS	3096	swrC		COG0841	Swarming motility protein SwrC
SU343_00048	CDS	747	oppF_1		COG4608	Oligopeptide transport ATP-binding protein OppF
SU343_00049	CDS	837	oppD_1		COG0444	Oligopeptide transport ATP-binding protein OppD
SU343_00050	CDS	921	ddpC_1		COG1173	Probable D,D-dipeptide transport system permease protein DdpC
SU343_00051	CDS	1062	dppB_1		COG0601	Dipeptide transport system permease protein DppB
SU343_00052	CDS	1644	ddpA		COG0747	Probable D,D-dipeptide-binding periplasmic protein DdpA
SU343_00053	CDS	1293				hypothetical protein
SU343_00054	CDS	606	recR		COG0353	Recombination protein RecR
SU343_00055	CDS	993				hypothetical protein
SU343_00056	CDS	408				hypothetical protein
SU343_00057	CDS	324			COG0718	Nucleoid-associated protein HI_0442
SU343_00058	CDS	1818				hypothetical protein
SU343_00059	CDS	420				hypothetical protein
SU343_00060	CDS	948	nudC_1	3.6.1.22		NADH pyrophosphatase
SU343_00061	CDS	306				hypothetical protein
SU343_00062	CDS	864	pheA		COG0077	P-protein
SU343_00063	CDS	729	kdsB	2.7.7.38	COG1212	3-deoxy-manno-octulosonate cytidylyltransferase
SU343_00064	CDS	675				hypothetical protein
SU343_00065	CDS	1878				hypothetical protein
SU343_00066	CDS	1869				hypothetical protein
SU343_00067	CDS	1095	yejB		COG4174	Inner membrane ABC transporter permease protein YejB
SU343_00068	CDS	1146	yejE		COG4239	Inner membrane ABC transporter permease protein YejE
SU343_00069	CDS	1632	yejF_1		COG4172	Uncharacterized ABC transporter ATP-binding protein YejF
SU343_00070	CDS	942	ghrA_1	1.1.1.79	COG0111	Glyoxylate/hydroxypyruvate reductase A
SU343_00071	CDS	453				hypothetical protein
SU343_00072	CDS	363				hypothetical protein
SU343_00073	CDS	918	tam_1	2.1.1.144		Trans-aconitate 2-methyltransferase
SU343_00074	CDS	1008				hypothetical protein
SU343_00075	CDS	1602	lig	6.5.1.1		DNA ligase
SU343_00076	CDS	1146				hypothetical protein
SU343_00077	tRNA	76				tRNA-Thr(cgt)
SU343_00078	CDS	189				hypothetical protein
SU343_00079	CDS	444				hypothetical protein
SU343_00080	CDS	537	sigE		COG1595	ECF RNA polymerase sigma factor SigE
SU343_00081	CDS	447				hypothetical protein
SU343_00082	CDS	456				hypothetical protein
SU343_00083	CDS	276				hypothetical protein
SU343_00084	CDS	1497				hypothetical protein
SU343_00085	CDS	1260				hypothetical protein
SU343_00086	CDS	243				hypothetical protein
SU343_00087	CDS	3420	aas_1	6.2.1.20		Bifunctional protein Aas
SU343_00088	CDS	1584				hypothetical protein
SU343_00089	CDS	2154				hypothetical protein
SU343_00090	CDS	483				hypothetical protein
SU343_00091	CDS	1572	crtN	1.3.8.2		Dehydrosqualene desaturase
SU343_00092	CDS	825	kynB_1	3.5.1.9		Kynurenine formamidase
SU343_00093	CDS	1575	crtI_1	1.3.99.28	COG1233	Phytoene desaturase (neurosporene-forming)
SU343_00094	CDS	1530	hbpA_1		COG0747	Heme-binding protein A
SU343_00095	CDS	1008	dppB_2		COG0601	Dipeptide transport system permease protein DppB
SU343_00096	CDS	843	gsiD_1		COG1173	Glutathione transport system permease protein GsiD
SU343_00097	CDS	879	ddpD		COG0444	Probable D,D-dipeptide transport ATP-binding protein DdpD
SU343_00098	CDS	837	oppF_2		COG4608	Oligopeptide transport ATP-binding protein OppF
SU343_00099	CDS	600	cetB	5.1.3.33		2-epi-5-epi-valiolone epimerase
SU343_00100	CDS	2295	namA_1	1.6.99.1		NADPH dehydrogenase
SU343_00101	CDS	774	actIII_1	1.3.1.-		Putative ketoacyl reductase
SU343_00102	CDS	471	mhqR		COG1846	HTH-type transcriptional regulator MhqR
SU343_00103	CDS	813		4.2.1.17	COG1024	Probable enoyl-CoA hydratase echA12
SU343_00104	CDS	216				hypothetical protein
SU343_00105	CDS	1149	caiA	1.3.99.-		Crotonobetainyl-CoA dehydrogenase
SU343_00106	CDS	414				hypothetical protein
SU343_00107	CDS	1095	rutA_1	1.14.99.46	COG2141	Pyrimidine monooxygenase RutA
SU343_00108	CDS	762	garL	4.1.2.20	COG3836	5-keto-4-deoxy-D-glucarate aldolase
SU343_00109	CDS	798	fliY_1		COG0834	L-cystine-binding protein FliY
SU343_00110	CDS	675	yecS_1		COG0765	L-cystine transport system permease protein YecS
SU343_00111	CDS	1290	csd_1	2.8.1.7		Probable cysteine desulfurase
SU343_00112	CDS	834	oppF_3		COG4608	Oligopeptide transport ATP-binding protein OppF
SU343_00113	CDS	852	dppD		COG0444	Dipeptide transport ATP-binding protein DppD
SU343_00114	CDS	912	dppC_1		COG1173	Dipeptide transport system permease protein DppC
