locus_tag	ftype	length_bp	gene	EC_number	COG	product
R7A_00001	CDS	1473	dnaA		COG0593	Chromosomal replication initiator protein DnaA
R7A_00002	CDS	1119	dnaN			Beta sliding clamp
R7A_00003	CDS	1140	recF_1		COG1195	DNA replication and repair protein RecF
R7A_00004	CDS	753	moeZ		COG0476	Probable adenylyltransferase/sulfurtransferase MoeZ
R7A_00005	CDS	477				hypothetical protein
R7A_00006	CDS	1002		1.1.1.29		Glycerate dehydrogenase
R7A_00007	CDS	561				hypothetical protein
R7A_00008	CDS	450				hypothetical protein
R7A_00009	CDS	432				hypothetical protein
R7A_00010	CDS	516	fabA	4.2.1.59	COG0764	3-hydroxydecanoyl-[acyl-carrier-protein] dehydratase
R7A_00011	CDS	1221	fabB	2.3.1.41		3-oxoacyl-[acyl-carrier-protein] synthase 1
R7A_00012	CDS	804	fabI_1	1.3.1.9	COG0623	Enoyl-[acyl-carrier-protein] reductase [NADH] FabI
R7A_00013	CDS	1545			COG2199	Uncharacterized signaling protein CC_0091
R7A_00014	CDS	1011	rsmC	2.1.1.172		Ribosomal RNA small subunit methyltransferase C
R7A_00015	CDS	2148	pnp	2.7.7.8	COG1185	Polyribonucleotide nucleotidyltransferase
R7A_00016	CDS	270	rpsO		COG0184	30S ribosomal protein S15
R7A_00017	CDS	1095	corA_1		COG0598	Cobalt/magnesium transport protein CorA
R7A_00018	CDS	978	truB	5.4.99.25	COG0130	tRNA pseudouridine synthase B
R7A_00019	CDS	456	rbfA			Ribosome-binding factor A
R7A_00020	CDS	2583	infB		COG0532	Translation initiation factor IF-2
R7A_00021	CDS	651				hypothetical protein
R7A_00022	CDS	1596	nusA		COG0195	Transcription termination/antitermination protein NusA
R7A_00023	CDS	648	rimP			Ribosome maturation factor RimP
R7A_00024	CDS	165				hypothetical protein
R7A_00025	CDS	744	trmB	2.1.1.33	COG0220	tRNA (guanine-N(7)-)-methyltransferase
R7A_00026	CDS	1266	metK_1	2.5.1.6	COG0192	S-adenosylmethionine synthase
R7A_00027	CDS	420				hypothetical protein
R7A_00028	CDS	1593	lnt	2.3.1.-	COG0815	Apolipoprotein N-acyltransferase
R7A_00029	CDS	945	dmlR_1			HTH-type transcriptional regulator DmlR
R7A_00030	CDS	705		1.1.1.119	COG1028	Glucose 1-dehydrogenase
R7A_00031	CDS	471				hypothetical protein
R7A_00032	CDS	1077	tlyC		COG1253	Hemolysin C
R7A_00033	CDS	501	ybeY	3.1.-.-		Endoribonuclease YbeY
R7A_00034	CDS	1050			COG1702	PhoH-like protein
R7A_00035	CDS	1410	miaB	2.8.4.3	COG0621	tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase
R7A_00036	CDS	801				hypothetical protein
R7A_00037	CDS	495	rimI	2.3.1.128	COG0456	Ribosomal-protein-alanine acetyltransferase
R7A_00038	CDS	678	tsaD_1	2.3.1.234		tRNA N6-adenosine threonylcarbamoyltransferase
R7A_00039	CDS	1104				hypothetical protein
R7A_00040	CDS	1080	irpA		COG3489	Iron-regulated protein A
R7A_00041	CDS	1602				hypothetical protein
R7A_00042	CDS	486	bfr	1.16.3.1	COG2193	Bacterioferritin
R7A_00043	CDS	312				hypothetical protein
R7A_00044	CDS	1290				hypothetical protein
R7A_00045	CDS	1254	thcD	1.18.1.-		Rhodocoxin reductase
R7A_00046	CDS	1278	puuE	2.6.1.19	COG0160	4-aminobutyrate aminotransferase PuuE
R7A_00047	CDS	1137	mdtA_1			Multidrug resistance protein MdtA
R7A_00048	CDS	1071	mdtE			Multidrug resistance protein MdtE
R7A_00049	CDS	3057	swrC		COG0841	Swarming motility protein SwrC
R7A_00050	CDS	747	oppF_1		COG4608	Oligopeptide transport ATP-binding protein OppF
R7A_00051	CDS	837	oppD_1		COG0444	Oligopeptide transport ATP-binding protein OppD
R7A_00052	CDS	921	ddpC_1		COG1173	Probable D,D-dipeptide transport system permease protein DdpC
R7A_00053	CDS	1062	dppB_1		COG0601	Dipeptide transport system permease protein DppB
