locus_tag	ftype	length_bp	gene	EC_number	COG	product
NZP2234_00001	CDS	1473	dnaA		COG0593	Chromosomal replication initiator protein DnaA
NZP2234_00002	CDS	1119	dnaN_1			Beta sliding clamp
NZP2234_00003	CDS	1140	recF		COG1195	DNA replication and repair protein RecF
NZP2234_00004	CDS	753	moeZ		COG0476	Probable adenylyltransferase/sulfurtransferase MoeZ
NZP2234_00005	CDS	477				hypothetical protein
NZP2234_00006	CDS	1002		1.1.1.29		Glycerate dehydrogenase
NZP2234_00007	CDS	558				hypothetical protein
NZP2234_00008	CDS	432				hypothetical protein
NZP2234_00009	CDS	516	fabA	4.2.1.59	COG0764	3-hydroxydecanoyl-[acyl-carrier-protein] dehydratase
NZP2234_00010	CDS	1221	fabB	2.3.1.41		3-oxoacyl-[acyl-carrier-protein] synthase 1
NZP2234_00011	CDS	804	fabI_1	1.3.1.9	COG0623	Enoyl-[acyl-carrier-protein] reductase [NADH] FabI
NZP2234_00012	CDS	1545			COG2199	Uncharacterized signaling protein CC_0091
NZP2234_00013	CDS	1059	rsmC	2.1.1.172		Ribosomal RNA small subunit methyltransferase C
NZP2234_00014	CDS	2148	pnp	2.7.7.8	COG1185	Polyribonucleotide nucleotidyltransferase
NZP2234_00015	CDS	270	rpsO		COG0184	30S ribosomal protein S15
NZP2234_00016	CDS	1095	corA_1		COG0598	Cobalt/magnesium transport protein CorA
NZP2234_00017	CDS	978	truB	5.4.99.25	COG0130	tRNA pseudouridine synthase B
NZP2234_00018	CDS	426	rbfA			Ribosome-binding factor A
NZP2234_00019	CDS	2583	infB		COG0532	Translation initiation factor IF-2
NZP2234_00020	CDS	651				hypothetical protein
NZP2234_00021	CDS	1596	nusA		COG0195	Transcription termination/antitermination protein NusA
NZP2234_00022	CDS	633	rimP			Ribosome maturation factor RimP
NZP2234_00023	CDS	165				hypothetical protein
NZP2234_00024	CDS	702	trmB	2.1.1.33	COG0220	tRNA (guanine-N(7)-)-methyltransferase
NZP2234_00025	CDS	1266	metK_1	2.5.1.6		S-adenosylmethionine synthase
NZP2234_00026	CDS	420				hypothetical protein
NZP2234_00027	CDS	1590	lnt	2.3.1.-	COG0815	Apolipoprotein N-acyltransferase
NZP2234_00028	CDS	471				hypothetical protein
NZP2234_00029	CDS	1095	tlyC		COG1253	Hemolysin C
NZP2234_00030	CDS	507	ybeY	3.1.-.-	COG0319	Endoribonuclease YbeY
NZP2234_00031	CDS	1077			COG1702	PhoH-like protein
NZP2234_00032	CDS	1410	miaB	2.8.4.3	COG0621	tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase
NZP2234_00033	CDS	801				hypothetical protein
NZP2234_00034	CDS	495	rimI	2.3.1.128	COG0456	Ribosomal-protein-alanine acetyltransferase
NZP2234_00035	CDS	678	tsaD_1	2.3.1.234		tRNA N6-adenosine threonylcarbamoyltransferase
NZP2234_00036	CDS	1104				hypothetical protein
NZP2234_00037	CDS	1080	irpA		COG3489	Iron-regulated protein A
NZP2234_00038	CDS	1602				hypothetical protein
NZP2234_00039	CDS	486	bfr	1.16.3.1	COG2193	Bacterioferritin
NZP2234_00040	CDS	312				hypothetical protein
NZP2234_00041	CDS	1290				hypothetical protein
NZP2234_00042	CDS	1254	thcD	1.18.1.-		Rhodocoxin reductase
NZP2234_00043	CDS	1278	puuE	2.6.1.19	COG0160	4-aminobutyrate aminotransferase PuuE
NZP2234_00044	CDS	1134	mdtA_1			Multidrug resistance protein MdtA
NZP2234_00045	CDS	1077	mdtE			Multidrug resistance protein MdtE
NZP2234_00046	CDS	3099	mepB_1		COG0841	Multidrug/solvent efflux pump membrane transporter MepB
NZP2234_00047	CDS	750	oppF_1		COG4608	Oligopeptide transport ATP-binding protein OppF
NZP2234_00048	CDS	834	oppD_1		COG0444	Oligopeptide transport ATP-binding protein OppD
NZP2234_00049	CDS	927	ddpC_1		COG1173	Probable D,D-dipeptide transport system permease protein DdpC
NZP2234_00050	CDS	1062	dppB_1		COG0601	Dipeptide transport system permease protein DppB
NZP2234_00051	CDS	1644	ddpA_1		COG0747	Probable D,D-dipeptide-binding periplasmic protein DdpA
NZP2234_00052	CDS	1248				Tn3 family transposase TnXax1
NZP2234_00053	CDS	606	recR		COG0353	Recombination protein RecR
NZP2234_00054	CDS	993				hypothetical protein
NZP2234_00055	CDS	408				hypothetical protein
NZP2234_00056	CDS	324			COG0718	Nucleoid-associated protein HI_0442
NZP2234_00057	CDS	1836				hypothetical protein
NZP2234_00058	CDS	420				hypothetical protein
NZP2234_00059	CDS	945	nudC_1	3.6.1.22		NADH pyrophosphatase
NZP2234_00060	CDS	306				hypothetical protein
NZP2234_00061	CDS	864	pheA		COG0077	P-protein
NZP2234_00062	CDS	729	kdsB	2.7.7.38	COG1212	3-deoxy-manno-octulosonate cytidylyltransferase
NZP2234_00063	CDS	669				hypothetical protein
NZP2234_00064	CDS	1878	appA			Oligopeptide-binding protein AppA
NZP2234_00065	CDS	1884				hypothetical protein
NZP2234_00066	CDS	1095	yejB		COG4174	Inner membrane ABC transporter permease protein YejB
NZP2234_00067	CDS	1146	yejE		COG4239	Inner membrane ABC transporter permease protein YejE
NZP2234_00068	CDS	1632	yejF_1		COG4172	Uncharacterized ABC transporter ATP-binding protein YejF
NZP2234_00069	CDS	942	ghrA_1	1.1.1.79	COG0111	Glyoxylate/hydroxypyruvate reductase A
NZP2234_00070	CDS	582				hypothetical protein
NZP2234_00071	CDS	363				hypothetical protein
NZP2234_00072	CDS	915	tam_1	2.1.1.144		Trans-aconitate 2-methyltransferase
NZP2234_00073	CDS	1008				hypothetical protein
NZP2234_00074	CDS	1602	lig	6.5.1.1		DNA ligase
NZP2234_00075	CDS	1143				hypothetical protein
NZP2234_00076	tRNA	76				tRNA-Thr(cgt)
NZP2234_00077	CDS	189				hypothetical protein
NZP2234_00078	CDS	429				hypothetical protein
NZP2234_00079	CDS	537	sigE		COG1595	ECF RNA polymerase sigma factor SigE
NZP2234_00080	CDS	447				hypothetical protein
NZP2234_00081	CDS	456				hypothetical protein
NZP2234_00082	CDS	279				hypothetical protein
NZP2234_00083	CDS	1530				hypothetical protein
NZP2234_00084	CDS	1260				hypothetical protein
NZP2234_00085	CDS	264				hypothetical protein
NZP2234_00086	CDS	447				hypothetical protein
NZP2234_00087	CDS	3420	aas_1	6.2.1.20		Bifunctional protein Aas
NZP2234_00088	CDS	1590				hypothetical protein
NZP2234_00089	CDS	2154				hypothetical protein
NZP2234_00090	CDS	483				hypothetical protein
NZP2234_00091	CDS	1572	carA2	1.3.99.29	COG1233	zeta-carotene-forming phytoene desaturase
NZP2234_00092	CDS	792	kynB	3.5.1.9		Kynurenine formamidase
NZP2234_00093	CDS	1575	crtI_1	1.3.99.28	COG1233	Phytoene desaturase (neurosporene-forming)
NZP2234_00094	CDS	1530				hypothetical protein
NZP2234_00095	CDS	1008	dppB_2		COG0601	Dipeptide transport system permease protein DppB
NZP2234_00096	CDS	843	gsiD_1		COG1173	Glutathione transport system permease protein GsiD
NZP2234_00097	CDS	879	ddpD_1		COG0444	Probable D,D-dipeptide transport ATP-binding protein DdpD
NZP2234_00098	CDS	837	oppF_2		COG4608	Oligopeptide transport ATP-binding protein OppF
