locus_tag	ftype	length_bp	gene	EC_number	COG	product
ATCC700743_00001	CDS	1473	dnaA_1		COG0593	Chromosomal replication initiator protein DnaA
ATCC700743_00002	CDS	1119	dnaN			Beta sliding clamp
ATCC700743_00003	CDS	1140	recF		COG1195	DNA replication and repair protein RecF
ATCC700743_00004	CDS	753	moeZ		COG0476	Probable adenylyltransferase/sulfurtransferase MoeZ
ATCC700743_00005	CDS	477				hypothetical protein
ATCC700743_00006	CDS	1002		1.1.1.29		Glycerate dehydrogenase
ATCC700743_00007	CDS	561				hypothetical protein
ATCC700743_00008	CDS	381				hypothetical protein
ATCC700743_00009	CDS	432				hypothetical protein
ATCC700743_00010	CDS	516	fabA	4.2.1.59	COG0764	3-hydroxydecanoyl-[acyl-carrier-protein] dehydratase
ATCC700743_00011	CDS	1221	fabB	2.3.1.41		3-oxoacyl-[acyl-carrier-protein] synthase 1
ATCC700743_00012	CDS	804	fabI_1	1.3.1.9	COG0623	Enoyl-[acyl-carrier-protein] reductase [NADH] FabI
ATCC700743_00013	CDS	1545			COG2199	Uncharacterized signaling protein CC_0091
ATCC700743_00014	CDS	1011	rsmC	2.1.1.172		Ribosomal RNA small subunit methyltransferase C
ATCC700743_00015	CDS	2148	pnp	2.7.7.8	COG1185	Polyribonucleotide nucleotidyltransferase
ATCC700743_00016	CDS	270	rpsO		COG0184	30S ribosomal protein S15
ATCC700743_00017	CDS	1095	corA_1		COG0598	Cobalt/magnesium transport protein CorA
ATCC700743_00018	CDS	978	truB	5.4.99.25	COG0130	tRNA pseudouridine synthase B
ATCC700743_00019	CDS	471	rbfA			Ribosome-binding factor A
ATCC700743_00020	CDS	2583	infB		COG0532	Translation initiation factor IF-2
ATCC700743_00021	CDS	651				hypothetical protein
ATCC700743_00022	CDS	1596	nusA		COG0195	Transcription termination/antitermination protein NusA
ATCC700743_00023	CDS	648	rimP			Ribosome maturation factor RimP
ATCC700743_00024	CDS	165				hypothetical protein
ATCC700743_00025	CDS	702	trmB	2.1.1.33	COG0220	tRNA (guanine-N(7)-)-methyltransferase
ATCC700743_00026	CDS	1266	metK_1	2.5.1.6	COG0192	S-adenosylmethionine synthase
ATCC700743_00027	CDS	420				hypothetical protein
ATCC700743_00028	CDS	1593	lnt	2.3.1.-	COG0815	Apolipoprotein N-acyltransferase
ATCC700743_00029	CDS	471			COG2764	Uncharacterized protein Rv0887c
ATCC700743_00030	CDS	1095				hypothetical protein
ATCC700743_00031	CDS	501	ybeY	3.1.-.-	COG0319	Endoribonuclease YbeY
ATCC700743_00032	CDS	1050			COG1702	PhoH-like protein
ATCC700743_00033	CDS	1410	miaB	2.8.4.3	COG0621	tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase
ATCC700743_00034	CDS	801				hypothetical protein
ATCC700743_00035	CDS	495	rimI	2.3.1.128	COG0456	Ribosomal-protein-alanine acetyltransferase
